topic,no_story,story,story_minus_no_story,abs_difference
topic_4,0.013192608,0.038078155,0.024885546,0.024885546
topic_2,0.03336214,0.022303887,-0.011058252,0.011058252
topic_3,0.030742459,0.040352486,0.009610027,0.009610027
topic_1,0.02862712,0.024772793,-0.003854327,0.003854327
topic_0,0.036081705,0.033564333,-0.0025173724,0.0025173724
