label,topic,mean_topic_score
no_story,topic_0,0.036081705
story,topic_0,0.033564333
no_story,topic_1,0.02862712
story,topic_1,0.024772793
no_story,topic_2,0.03336214
story,topic_2,0.022303887
no_story,topic_3,0.030742459
story,topic_3,0.040352486
no_story,topic_4,0.013192608
story,topic_4,0.038078155
