topic,no_story,story,story_minus_no_story,abs_difference
topic_6,0.020812217,0.046451405,0.025639188,0.025639188
topic_8,0.010458092,0.027439753,0.016981661,0.016981661
topic_4,0.009021043,0.023740128,0.014719085,0.014719085
topic_2,0.026734311,0.014690834,-0.012043477,0.012043477
topic_3,0.017964434,0.025789078,0.007824644,0.007824644
topic_5,0.012652393,0.019402862,0.006750468,0.006750468
topic_0,0.023731189,0.017274503,-0.006456686,0.006456686
topic_1,0.028057877,0.02290525,-0.005152628,0.005152628
topic_7,0.015407691,0.019574324,0.004166633,0.004166633
topic_9,0.02265379,0.020997072,-0.0016567186,0.0016567186
