topic_id,n_word_pairs,coherence_npmi
0,34,0.0664677408855207
1,40,0.15514152111209853
2,37,0.15025118533842063
3,42,0.2294700753588081
4,27,0.20473159348398168
5,43,0.07642341187152318
6,39,0.10988511875190732
7,35,0.14267686181906597
8,37,0.24524452973909122
9,33,0.20074634297940508
10,33,0.09656840757123876
11,42,0.13490097809417995
12,39,0.22468102170686982
13,34,0.17111113934901828
14,30,0.13547749928454333
