label,topic,mean_topic_score
no_story,topic_0,0.016065646
story,topic_0,0.01058345
no_story,topic_1,0.0261049
story,topic_1,0.020751197
no_story,topic_2,0.016718065
story,topic_2,0.009192006
no_story,topic_3,0.012044185
story,topic_3,0.019149939
no_story,topic_4,0.0070287785
story,topic_4,0.018271375
no_story,topic_5,0.010141021
story,topic_5,0.015827945
no_story,topic_6,0.009282241
story,topic_6,0.028658206
no_story,topic_7,0.007662759
story,topic_7,0.015015096
no_story,topic_8,0.009617562
story,topic_8,0.01819511
no_story,topic_9,0.020447362
story,topic_9,0.01770984
no_story,topic_10,0.029521527
story,topic_10,0.0178697
no_story,topic_11,0.013840265
story,topic_11,0.01983279
no_story,topic_12,0.0058808546
story,topic_12,0.01842518
no_story,topic_13,0.010392562
story,topic_13,0.012820309
no_story,topic_14,0.01705896
story,topic_14,0.009889418
